"station"	"long"	"lat"
"332"	"Richmond"	-0.3014	51.463
"333"	"Rickmansworth"	-0.4733	51.6402
"334"	"Riddlesdown"	-0.0996	51.3323
"335"	"Romford"	0.1827	51.5749
"336"	"Rotherhithe"	-0.0522	51.5008
"337"	"Royal Oak"	-0.188056	51.519167
"338"	"Ruislip Manor"	-0.4125	51.5733
"339"	"Ruislip"	-0.4211	51.5714
"340"	"Sanderstead"	-0.094	51.3484
"341"	"Selhurst"	-0.0883	51.3921
"342"	"Seven Kings"	0.0969	51.5635
"343"	"Seven Sisters"	-0.0756	51.5839
"344"	"Shadwell"	-0.0569	51.5112
"345"	"Shenfield"	0.3328	51.6331
"346"	"Shepherd's Bush"	-0.2175	51.5051
"347"	"Shepherd's Bush Market"	-0.2264	51.5058
"348"	"Shoreditch High Street"	-0.0768	51.5234
"349"	"Shortlands"	0.0019	51.4058
"350"	"Sidcup"	0.104	51.4338
"351"	"Silver Street"	-0.0676	51.6149
"352"	"Slade Green"	0.1904	51.4678
"353"	"Sloane Square"	-0.1566	51.4925
"354"	"South Acton"	-0.2707	51.4994
"355"	"South Bermondsey"	-0.0548	51.4887
"356"	"South Croydon"	-0.0933	51.3629
"357"	"South Greenford"	-0.3369	51.5342
"358"	"South Hampstead"	-0.1788	51.5414
"359"	"South Kensington"	-0.1738	51.4941
"360"	"South Kenton"	-0.3086	51.5703
"361"	"South Merton"	-0.2062	51.403
"362"	"South Ruislip"	-0.3988	51.5569
"363"	"South Tottenham"	-0.072	51.5802
"364"	"Southall"	-0.3783	51.506
"365"	"Southbury"	-0.0524	51.6488
"366"	"Southwark"	-0.105	51.503
"367"	"St Helier"	-0.1985	51.3901
"368"	"St James Street"	-0.0323	51.581
"369"	"St Johns"	-0.0225	51.4691
"370"	"St Margarets"	-0.3204	51.455
"371"	"St Mary Cray"	0.1058	51.3947
"372"	"St Pancras"	-0.125	51.53
"373"	"St PancrasLondon"	-0.1261	51.5314
"374"	"St. James's Park"	-0.1344	51.4994
"375"	"St. John's Wood"	-0.1742	51.5347
"376"	"Stamford Hill"	-0.0761	51.5749
"377"	"Stanmore"	-0.3028	51.6194
"378"	"Stepney Green"	-0.046389	51.521944
"379"	"Stoke Mandeville"	-0.784	51.788
"380"	"Stoke Newington"	-0.0727	51.5651
"381"	"Stonebridge Park"	-0.2754	51.544
"382"	"Stoneleigh"	-0.2487	51.3637
"383"	"Stratford International"	-0.0087	51.5448
"384"	"Strawberry Hill"	-0.3388	51.4389
"385"	"Streatham Common"	-0.1359	51.4187
"386"	"Streatham Hill"	-0.1271	51.438
"387"	"Streatham"	-0.1311	51.426
"388"	"Sudbury & Harrow Road"	-0.3167	51.554
"389"	"Sudbury Hill Harrow"	-0.3358	51.5589
"390"	"Sundridge Park"	0.0221	51.4137
"391"	"Surbiton"	-0.3044	51.3926
"392"	"Surrey Quays"	-0.0477	51.4933
"393"	"Sutton"	-0.1903	51.3601
"394"	"Sutton Common"	-0.1964	51.3751
"395"	"Swanley"	0.169	51.3934
"396"	"Swiss Cottage"	-0.1747	51.5431
"397"	"Sydenham"	-0.0545	51.4268
"398"	"Sydenham Hill"	-0.0802	51.4326
"399"	"Syon Lane"	-0.3248	51.4818
"400"	"Tadworth"	-0.236	51.292
"401"	"Tattenham Corner"	-0.2426	51.3092
"402"	"Teddington"	-0.3325	51.4247
"403"	"Temple"	-0.1144	51.5111
"404"	"Thames Ditton"	-0.3383	51.3886
"405"	"Theobalds Grove"	-0.0327	51.6937
"406"	"Thornton Heath"	-0.1004	51.3985
"407"	"Tolworth"	-0.2793	51.3771
"408"	"Tooting"	-0.1603	51.4196
"409"	"Tottenham Court Road"	-0.1309	51.5162
"410"	"Tottenham Hale"	-0.0611	51.5902
